	 h	 k	 l	   d	  I
	 -	 -	 -	7.4000	  63
	 -	 -	 -	5.2600	  25
	 -	 -	 -	3.3300	 100
	 -	 -	 -	2.6400	  15
	 -	 -	 -	2.5500	  75
	 -	 -	 -	2.3700	   5
	 -	 -	 -	2.2900	  25
	 -	 -	 -	2.1000	   5
	 -	 -	 -	1.9600	  25
	 -	 -	 -	1.8700	   5
	 -	 -	 -	1.7500	  10
	 -	 -	 -	1.6500	  45
	 -	 -	 -	1.5100	  15
	 -	 -	 -	1.4900	   5
	 -	 -	 -	1.4500	  25
	 -	 -	 -	1.3800	  15
	 -	 -	 -	1.3200	   5
	 -	 -	 -	1.2400	   5
	 -	 -	 -	1.1500	   5
